section_label,token,section_count,rest_count,log_odds_score
astronomical_zodiac,chocfhy,2,0,3.764667768417822
astronomical_zodiac,oeteody,2,0,3.764667768417822
astronomical_zodiac,cheedals,1,0,3.253629695107799
astronomical_zodiac,okoaly,1,0,3.253629695107799
astronomical_zodiac,teodain,1,0,3.253629695107799
astronomical_zodiac,sheosam,1,0,3.253629695107799
astronomical_zodiac,cphocthy,1,0,3.253629695107799
astronomical_zodiac,ockhosam,1,0,3.253629695107799
astronomical_zodiac,otechodor,1,0,3.253629695107799
astronomical_zodiac,qeykeey,1,0,3.253629695107799
biological_balneological,qoly,7,0,3.957645504039213
biological_balneological,loly,6,0,3.814445611270091
biological_balneological,rshedy,6,0,3.814445611270091
biological_balneological,shckhedy,6,0,3.814445611270091
biological_balneological,olshdy,4,0,3.446522762315208
biological_balneological,qolky,4,0,3.446522762315208
biological_balneological,olkol,3,0,3.1951093143293
biological_balneological,lshdy,3,0,3.1951093143293
biological_balneological,solkeey,3,0,3.1951093143293
biological_balneological,lcheckhy,3,0,3.1951093143293
cosmological,oteeodar,2,0,3.6092559469877408
cosmological,ytory,2,0,3.6092559469877408
cosmological,aloees,2,0,3.6092559469877408
cosmological,dchokey,1,0,3.098245275108713
cosmological,olair,1,0,3.098245275108713
cosmological,lkech,1,0,3.098245275108713
cosmological,okoeese,1,0,3.098245275108713
cosmological,soeos,1,0,3.098245275108713
cosmological,ytals,1,0,3.098245275108713
cosmological,chekais,1,0,3.098245275108713
herbal,qotchol,13,0,4.0109633184378595
herbal,choiin,12,0,3.933935091061448
herbal,chotchy,12,0,3.933935091061448
herbal,qotchor,11,0,3.8504863003958016
herbal,tchody,9,0,3.6592967137185384
herbal,qokchor,8,0,3.5480039104191428
herbal,dsho,8,0,3.5480039104191428
herbal,ctho,22,1,3.423748668447414
herbal,dom,7,0,3.422773603787229
herbal,ksho,7,0,3.422773603787229
pharmaceutical,oeeor,3,0,3.788513033354047
pharmaceutical,shockhey,3,0,3.788513033354047
pharmaceutical,cheokal,2,0,3.4518794543639784
pharmaceutical,du,2,0,3.4518794543639784
pharmaceutical,opcheor,2,0,3.4518794543639784
pharmaceutical,yfolaiin,2,0,3.4518794543639784
pharmaceutical,qkol,2,0,3.4518794543639784
pharmaceutical,loiiin,2,0,3.4518794543639784
pharmaceutical,cfhey,2,0,3.4518794543639784
pharmaceutical,okeoy,2,0,3.4518794543639784
recipes_stars,lkeeey,7,0,3.4519279985120286
recipes_stars,ail,6,0,3.3087586617206437
recipes_stars,chedam,6,0,3.3087586617206437
recipes_stars,oteeey,6,0,3.3087586617206437
recipes_stars,qotched,5,0,3.1416360885977563
recipes_stars,lkal,5,0,3.1416360885977563
recipes_stars,arain,4,0,2.9408969093662316
recipes_stars,chokedy,4,0,2.9408969093662316
recipes_stars,lkeeedy,4,0,2.9408969093662316
recipes_stars,opair,4,0,2.9408969093662316
unknown,okalar,4,0,3.6326041676649345
unknown,orary,3,0,3.3811749815229892
unknown,chepchey,3,0,3.3811749815229892
unknown,ypal,3,0,3.3811749815229892
unknown,otolam,2,0,3.0445880002085923
unknown,alshy,2,0,3.0445880002085923
unknown,ofa,2,0,3.0445880002085923
unknown,sheokey,2,0,3.0445880002085923
unknown,okeoldy,2,0,3.0445880002085923
unknown,chcphdy,2,0,3.0445880002085923
