folio_id,nearest_labeled_section,nearest_distance,interpretation,distance_to_astronomical_zodiac,distance_to_biological_balneological,distance_to_cosmological,distance_to_herbal,distance_to_pharmaceutical,distance_to_recipes_stars
f1r,pharmaceutical,1.5595052139864372,structural proximity only; not section identification,3.144328263935499,4.14595181561189,1.8328593622490608,2.5520588342976933,1.5595052139864372,2.8363232620852834
f58r,recipes_stars,1.7275289782505667,structural proximity only; not section identification,3.448348364356879,3.9956068153715174,2.7020143093174087,3.682881098294875,2.166547216138157,1.7275289782505667
f58v,recipes_stars,2.3506376856163285,structural proximity only; not section identification,4.371826098769324,4.16872513618769,3.139776537626729,3.9942576499983566,2.6683366866938245,2.3506376856163285
f66r,recipes_stars,1.3247631384859284,structural proximity only; not section identification,2.6845532071497797,2.6312774782544905,2.006399634817869,2.930476062592148,2.0146357278643836,1.3247631384859284
f70v1,astronomical_zodiac,2.2442567156663946,structural proximity only; not section identification,2.2442567156663946,4.888186858747177,3.071856493434748,2.870048333266274,3.0235998919935017,4.245295005852227
f71r,astronomical_zodiac,1.3558019030704571,structural proximity only; not section identification,1.3558019030704571,3.898613640223776,2.2818618392441836,1.9416788535463538,2.4016021780425842,3.904548093074373
f71v,pharmaceutical,1.6940049077142025,structural proximity only; not section identification,2.5968927090459335,4.345216260303897,1.7481951292620423,1.951181094193516,1.6940049077142025,3.471368650445608
f72r1,pharmaceutical,1.6024715579109203,structural proximity only; not section identification,2.4181014777247665,4.679559717128469,2.128652002257017,2.2232982838207125,1.6024715579109203,3.418636557043926
f72r2,cosmological,1.447220702060052,structural proximity only; not section identification,2.1235971844772363,3.520452932343571,1.447220702060052,1.5853860361483452,1.7390887609577301,3.1052767134245105
f72r3,pharmaceutical,1.0115021666054247,structural proximity only; not section identification,1.7264033259423035,4.267454471918427,1.849519701910351,2.361918747887239,1.0115021666054247,2.6478055635461475
f72v1,astronomical_zodiac,1.595409994437703,structural proximity only; not section identification,1.595409994437703,4.682602451076205,1.9374662789106083,1.918231730581277,1.9628177333549301,3.7701862758600946
f72v2,astronomical_zodiac,0.9555101189388017,structural proximity only; not section identification,0.9555101189388017,4.207862958447427,2.121570828122813,2.0473907607366004,2.075882988700044,3.547043216719027
f72v3,astronomical_zodiac,1.6991146106431245,structural proximity only; not section identification,1.6991146106431245,4.349715272800067,3.0963564570315056,3.075022639322734,2.946439729216373,3.969724870293979
f73r,astronomical_zodiac,0.8985690110153792,structural proximity only; not section identification,0.8985690110153792,4.211106024673554,2.273695432103592,2.000430622258519,2.3469085068282216,3.8821564245437243
f73v,astronomical_zodiac,0.7418214027457827,structural proximity only; not section identification,0.7418214027457827,4.166040004883778,1.8199983983955355,1.5273426140720057,2.011124543258876,3.786374801607101
f76r,biological_balneological,1.4751350827021987,structural proximity only; not section identification,5.083791877115927,1.4751350827021987,3.7435387398746784,4.430506393102428,4.029075799784243,2.602655814598771
f85r1,recipes_stars,1.452244168635083,structural proximity only; not section identification,3.327086605424891,2.834109129484879,2.4151543591655793,3.2823514438350525,2.3979471317847447,1.452244168635083
f86v5,recipes_stars,2.710106332876053,structural proximity only; not section identification,5.131564551310101,3.2702709245708803,3.705183168866558,4.527959131237428,3.84678150350864,2.710106332876053
f86v6,recipes_stars,1.2429287850722066,structural proximity only; not section identification,4.119798098283532,1.9713312641210623,2.8155729932754237,3.753849897960909,2.8799808932920112,1.2429287850722066
f99v,cosmological,1.4925922913829737,structural proximity only; not section identification,1.8299093853709634,2.697819630089062,1.4925922913829737,1.9769531817794486,1.932150515636092,2.6110552125534627
f116v,herbal,13.549897381146014,structural proximity only; not section identification,14.089548872082519,15.076407546269689,14.284424925130166,13.549897381146014,14.6371602189334,15.909536528682102
fRos,recipes_stars,2.6008530901474547,structural proximity only; not section identification,4.881481612146304,4.3865973076684535,3.729756741276401,4.6808160826008764,3.4386497837124357,2.6008530901474547
