section_label,split,alpha_smoothing,train_token_count,test_token_count,global_cross_entropy,section_cross_entropy,delta_global_minus_section_cross_entropy,global_perplexity,section_perplexity,global_token_matching_rate,section_token_matching_rate,global_token_mass_coverage,section_token_mass_coverage,global_suffix_top1,section_suffix_top1,global_suffix_top3,section_suffix_top3,global_H_suffix_given_core,section_H_suffix_given_core,global_H_core_given_prefix,section_H_core_given_prefix,valid_PCS_test_token_count,confidence_note
herbal,80/20,0.1,8827,2207,12.382425976358045,12.199115237527705,0.18331073883033966,5339.266986064499,4702.183866456541,0.6352813852813853,0.5043290043290043,0.8049745618993782,0.7314867156585642,0.6936122102882984,0.6715658564160543,0.9095534200113058,0.8875070661390616,0.7732563658891598,0.7732563658891598,3.996007845084681,3.996007845084681,1769,standard
astronomical_zodiac,80/20,0.1,677,169,14.339698892652951,14.307863052428251,0.03183584022469965,20733.828191280165,20281.307634160912,0.6796875,0.2734375,0.7112676056338029,0.31690140845070425,0.6267605633802817,0.45774647887323944,0.8661971830985915,0.6338028169014085,0.45315739765086793,0.45315739765086793,2.4767860876903933,2.4767860876903933,142,low-count section
biological_balneological,80/20,0.1,4992,1248,10.69709947123987,10.087314793684557,0.6097846775553126,1660.1518260749867,1087.888356525397,0.7198067632850241,0.5507246376811594,0.8805970149253731,0.8049751243781095,0.8537313432835821,0.8338308457711443,0.9611940298507463,0.9313432835820895,0.31474719608729984,0.31474719608729984,3.606919780291494,3.606919780291494,1005,standard
cosmological,80/20,0.1,1234,309,13.296085923645782,13.389507911413371,-0.0934219877675897,10058.20974896252,10731.081877350161,0.6974358974358974,0.41025641025641024,0.7445887445887446,0.48484848484848486,0.6233766233766234,0.5021645021645021,0.8874458874458875,0.7142857142857143,0.5853870781450861,0.5853870781450861,2.8992462794131897,2.8992462794131897,231,standard
pharmaceutical,80/20,0.1,1870,468,12.30467748665447,11.989779886721559,0.31489759993291067,5059.143643653106,4067.0862949614093,0.7309236947791165,0.42971887550200805,0.8227513227513228,0.6111111111111112,0.6772486772486772,0.6084656084656085,0.9047619047619048,0.8518518518518519,0.6011084740938816,0.6011084740938816,3.0073152420183376,3.0073152420183376,378,standard
recipes_stars,80/20,0.1,8595,2149,11.865089172650759,11.796681318462138,0.06840785418862083,3730.334202371622,3557.582057857873,0.6785714285714286,0.5446428571428571,0.8398479913137894,0.7660152008686211,0.742128121606949,0.7133550488599348,0.9321389793702497,0.8789359391965255,0.6369870896691663,0.6369870896691663,4.281980021569432,4.281980021569432,1842,standard
unknown,80/20,0.1,3884,971,13.04534258606544,13.213567778870376,-0.16822519280493609,8453.555769553499,9499.05169532829,0.6567164179104478,0.4533582089552239,0.7648546144121365,0.6156763590391909,0.6700379266750948,0.6131479140328698,0.9026548672566371,0.877370417193426,0.5817234564592709,0.5817234564592709,3.839341847775776,3.839341847775776,791,standard
herbal,70/30,0.1,7724,3310,12.265606717809314,12.064935823131092,0.20067089467822186,4923.971573841411,4284.573314124174,0.610032362459547,0.4627831715210356,0.812070282658518,0.7291825821237586,0.6951871657754011,0.6711229946524064,0.9083269671504965,0.8888464476699771,0.7847758527640921,0.7847758527640921,4.1808018604311,4.1808018604311,2618,standard
astronomical_zodiac,70/30,0.1,592,254,14.78318401811692,14.147250881514086,0.6359331366028336,28195.631169488028,18144.57798030566,0.5760869565217391,0.25,0.6372093023255814,0.33488372093023255,0.5813953488372093,0.37209302325581395,0.8418604651162791,0.6,0.5569832903814974,0.5569832903814974,2.9262847621442236,2.9262847621442236,215,standard
biological_balneological,70/30,0.1,4368,1872,10.626239710895506,10.059331900158295,0.5669078107372112,1580.5814988541024,1066.9907103219748,0.7091561938958707,0.5098743267504489,0.889763779527559,0.8077427821522309,0.8569553805774278,0.8326771653543307,0.9606299212598425,0.9271653543307087,0.34970700021276224,0.34970700021276224,3.6810843024718065,3.6810843024718065,1524,standard
cosmological,70/30,0.1,1080,463,12.959465556063934,13.157169706095475,-0.19770415003154085,7965.038147704495,9134.877748179058,0.7046263345195729,0.3879003558718861,0.7704918032786885,0.4972677595628415,0.6721311475409836,0.5573770491803278,0.907103825136612,0.7459016393442623,0.5138688447144847,0.5138688447144847,3.4390372017048567,3.4390372017048567,366,standard
pharmaceutical,70/30,0.1,1637,701,12.757667535762163,12.526124387439474,0.23154314832268952,6925.33207472485,5898.467217495958,0.6752136752136753,0.3561253561253561,0.7912885662431942,0.5662431941923775,0.6388384754990926,0.5535390199637024,0.8929219600725953,0.7604355716878403,0.7118294527105502,0.7118294527105502,3.2649547434249975,3.2649547434249975,551,standard
recipes_stars,70/30,0.1,7521,3223,12.011050433030636,11.888288143994338,0.12276228903629871,4127.494087047673,3790.803984503863,0.6063829787234043,0.469721767594108,0.8200867052023122,0.7496387283236994,0.7351878612716763,0.708092485549133,0.9263005780346821,0.8580202312138728,0.6595328718632895,0.6595328718632895,4.471033036453726,4.471033036453726,2768,standard
unknown,70/30,0.1,3398,1457,12.9905962524353,13.137289650008483,-0.14669339757318411,8138.776708304568,9009.864224831164,0.6187845303867403,0.40193370165745856,0.7636054421768708,0.6071428571428571,0.6717687074829932,0.6215986394557823,0.8886054421768708,0.8401360544217688,0.6142224649316399,0.6142224649316399,4.26242085549439,4.26242085549439,1176,standard
herbal,50/50,0.1,5517,5517,12.289530736116474,12.153384688135594,0.13614604798087981,5006.305916756839,4555.471563235,0.5238365493757094,0.358683314415437,0.7958247304427621,0.7065840789171829,0.6767607249369121,0.64762560220234,0.9077770130763937,0.8859830236292727,0.8661282108115386,0.8661282108115386,4.417580908311094,4.417580908311094,4359,standard
astronomical_zodiac,50/50,0.1,423,423,14.545963374611924,14.367703290471102,0.17826008414082217,23920.557188825314,21140.227625914707,0.5882352941176471,0.16608996539792387,0.654178674351585,0.2564841498559078,0.5821325648414986,0.38904899135446686,0.8587896253602305,0.6051873198847262,0.6043648549253284,0.6043648549253284,3.343395809807044,3.343395809807044,347,standard
biological_balneological,50/50,0.1,3120,3120,10.743790294238998,10.10522894289799,0.6385613513410089,1714.7592161194925,1101.481037223998,0.6014760147601476,0.3997539975399754,0.8663249211356467,0.7886435331230284,0.8446372239747634,0.8217665615141956,0.9546529968454258,0.9057570977917981,0.33751902970005376,0.33751902970005376,3.9055955672788887,3.9055955672788887,2536,standard
cosmological,50/50,0.1,772,771,13.285729349975096,13.290667863710082,-0.004938513734986216,9986.264128771209,10020.506852980527,0.6206088992974239,0.2810304449648712,0.7170138888888888,0.421875,0.6076388888888888,0.4895833333333333,0.8611111111111112,0.6944444444444444,0.6902887701753379,0.6902887701753379,3.8479977527332854,3.8479977527332854,576,standard
pharmaceutical,50/50,0.1,1169,1169,12.715593921810926,12.620089028456103,0.09550489335482304,6726.283733874873,6295.429220394151,0.5871559633027523,0.25137614678899084,0.7618069815195072,0.5277207392197125,0.660164271047228,0.5646817248459959,0.9004106776180698,0.8316221765913757,0.726263611669517,0.726263611669517,3.6086480652552506,3.6086480652552506,974,standard
recipes_stars,50/50,0.1,5372,5372,11.855617808027143,11.74537541659569,0.11024239143145209,3705.9245858352842,3433.2885941389363,0.5369831100757134,0.38380896913220736,0.8185370088995008,0.7408291729976123,0.7393097460386369,0.7100065118298242,0.9246798350336445,0.8691122205339701,0.6974012400739783,0.6974012400739783,4.582659854435655,4.582659854435655,4607,standard
unknown,50/50,0.1,2428,2427,13.058171299851011,13.141402187130808,-0.08323088727979666,8529.061574838099,9035.584326689239,0.5416666666666666,0.3161231884057971,0.7394578313253012,0.5853413654618473,0.6546184738955824,0.6019076305220884,0.8920682730923695,0.8614457831325302,0.6996389130664169,0.6996389130664169,4.49464081761622,4.49464081761622,1992,standard
